Hour,Node 1,Node 2,Node 3,Node 4,Node 5
1,1384,1640,1657,1648,1165
2,1320,1572,1610,1594,1102
3,1237,1503,1484,1483,1053
4,1129,1483,1504,1468,1031
5,1092,1510,1584,1516,1013
6,1133,1654,1876,1578,1001
7,1199,1880,1998,1762,1038
8,1238,2024,2004,1927,1101
9,1281,2082,1990,1983,1160
10,1296,2073,2014,1998,1207
11,1323,2080,1997,1973,1222
12,1391,2091,2000,1952,1236
13,1538,2058,1994,1973,1255
14,1533,2045,2046,1967,1216
15,1522,2069,2097,1964,1214
16,1492,2133,2062,1962,1215
17,1523,2160,2029,1973,1239
18,1522,2120,1967,1929,1249
19,1508,2106,1920,1961,1297
20,1478,2058,1870,1969,1356
21,1437,2007,1808,1976,1408
22,1393,1944,1775,1967,1419
23,1329,1865,1724,1964,1338
24,1281,1760,1693,1961,1250
