Hour,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19
1,1384,1640,1657,1648,1165,1433,1608,1419,1737,1644,1393,1372,1358,1396,1168,1440,1476,1499,1614
2,1320,1572,1610,1594,1102,1354,1532,1367,1664,1564,1315,1301,1269,1311,1171,1390,1410,1428,1532
3,1237,1503,1484,1483,1053,1287,1466,1326,1600,1496,1245,1229,1197,1242,1214,1327,1348,1353,1461
4,1129,1483,1504,1468,1031,1275,1452,1311,1581,1470,1221,1204,1164,1214,1294,1294,1327,1316,1425
5,1092,1510,1584,1516,1013,1278,1496,1361,1623,1502,1238,1223,1168,1195,1324,1309,1360,1341,1441
6,1133,1654,1876,1578,1001,1330,1616,1502,1742,1575,1286,1267,1171,1182,1371,1341,1472,1426,1475
7,1199,1880,1998,1762,1038,1533,1846,1772,1990,1736,1453,1441,1214,1242,1385,1431,1680,1586,1567
8,1238,2024,2004,1927,1101,1662,1977,1911,2101,1845,1560,1525,1294,1329,1386,1525,1771,1680,1650
9,1281,2082,1990,1983,1160,1697,2031,1981,2144,1928,1577,1520,1324,1370,1351,1640,1763,1666,1699
10,1296,2073,2014,1998,1207,1727,2065,2020,2180,1998,1585,1509,1371,1418,1296,1758,1766,1638,1715
11,1323,2080,1997,1973,1222,1739,2081,2032,2217,2042,1595,1496,1385,1437,1290,1831,1769,1613,1709
12,1391,2091,2000,1952,1236,1752,2113,2062,2230,2081,1610,1501,1386,1432,1301,1875,1773,1613,1710
13,1538,2058,1994,1973,1255,1753,2130,2088,2236,2066,1596,1495,1351,1421,1320,1863,1779,1657,1690
14,1533,2045,2046,1967,1216,1718,2110,2064,2200,2010,1549,1471,1296,1387,1340,1809,1790,1617,1660
15,1522,2069,2097,1964,1214,1696,2099,2054,2193,1979,1544,1465,1290,1389,1378,1788,1808,1612,1649
16,1492,2133,2062,1962,1215,1694,2110,2069,2211,2000,1577,1480,1301,1400,1464,1797,1822,1637,1659
17,1523,2160,2029,1973,1239,1693,2132,2107,2251,2043,1597,1497,1320,1423,1547,1865,1831,1651,1703
18,1522,2120,1967,1929,1249,1682,2111,2095,2214,2002,1590,1497,1340,1412,1468,1858,1829,1647,1807
19,1508,2106,1920,1961,1297,1685,2072,2048,2172,1946,1588,1525,1378,1426,1387,1830,1851,1674,1845
20,1478,2058,1870,1969,1356,1700,2029,2006,2124,1911,1614,1573,1464,1453,1308,1807,1925,1768,1825
21,1437,2007,1808,1976,1408,1690,1959,1934,2045,1855,1630,1634,1547,1486,1221,1752,1842,1778,1766
22,1393,1944,1775,1967,1419,1685,1882,1863,1965,1793,1588,1592,1468,1524,1159,1686,1714,1694,1693
23,1329,1865,1724,1964,1338,1604,1798,1780,1897,1729,1520,1513,1387,1436,1100,1613,1621,1624,1624
24,1281,1760,1693,1961,1250,1544,1711,1699,1810,1654,1476,1456,1308,1349,1069,1523,1576,1590,1546
